name,amount
GREGOROWICZ,396
HELMAN,396
IDŹKOWSKI,396
JAMBOR,396
KASAK,396
KNYSAK,396
KOWARA,396
LAMCH,396
ŁUKSZA,396
ŁYŚ,396
MAGIEROWSKI,396
NICIEJEWSKI,396
PLIZGA,396
ROSKOSZ,396
SKRZECZ,396
ŚWIĆ,396
TUCKI,396
WAŁASZEK,396
ZBROSZCZYK,396
BASAJ,395
DOBROGOWSKI,395
DZIARMAGA,395
FORMA,395
GILEWICZ,395
GRONKIEWICZ,395
IGNATIUK,395
KOŁKOWSKI,395
KRĘGIEL,395
KUSZYŃSKI,395
KWARCIŃSKI,395
LEPIANKA,395
MYCEK,395
POGWIZD,395
SIEKLUCKI,395
SOCHOCKI,395
SOMMERFELD,395
STĄPOR,395
WYKOWSKI,395
ZADKA,395
ZIEGLER,395
ZIĘTKOWSKI,395
ŻUBROWSKI,395
BUJAKOWSKI,394
CHWALISZ,394
DIDYK,394
GARSKI,394
GOSPODAREK,394
JASIONEK,394
KORTA,394
ŁAPAJ,394
ŁASKAWSKI,394
ŁYCZEK,394
MICHOŃSKI,394
MINTA,394
PIOTRKOWSKI,394
RYSZKIEWICZ,394
SZKOPEK,394
CHMAL,393
CHRUSTOWSKI,393
DYBIEC,393
GRABOWY,393
GRZYWNOWICZ,393
KURCZ,393
MALARSKI,393
MATYJASEK,393
PIETRAŚ,393
SALWIN,393
SKUP,393
STUCZYŃSKI,393
SZWAŁEK,393
TRUCHEL,393
WASIEWICZ,393
WICZKOWSKI,393
ZAGOZDA,393
CHARZYŃSKI,392
DUDAŁA,392
DUSIŃSKI,392
DUŻYŃSKI,392
FICNER,392
GŁOWIAK,392
GRADEK,392
GRAŚ,392
KOSTAŃSKI,392
MALCHEREK,392
MARCHWIŃSKI,392
MARTYN,392
MATYJASZEK,392
MIZGAŁA,392
MOTAK,392
PAWEŁKIEWICZ,392
PERŁOWSKI,392
PIERZAK,392
PITUŁA,392
PUC,392
ROGUCKI,392
STAROŚCIAK,392
SZYMANIUK,392
WROCŁAWSKI,392
WYRWAŁ,392
BIAŁOUS,391
BROSZKIEWICZ,391
DUCKI,391
DWORNICZAK,391
GRABCZAK,391
GROSZ,391
GRZEGORZAK,391
KOSTENKO,391
KWAPIEŃ,391
MASTEJ,391
SABAŁA,391
SANETRA,391
STAŃDO,391
ZAPORA,391
ZBICIAK,391
BLOCK,390
BRYLEWSKI,390
CEBO,390
CHWEDCZUK,390
KACPERCZYK,390
KUPCZYŃSKI,390
MIJAS,390
OBSZYŃSKI,390
PORZUCEK,390
SŁOŃ,390
SNOCHOWSKI,390
SZYBOWSKI,390
ŚLIŻEWSKI,390
TOMERA,390
ZAJKO,390
ZIĘCIK,390
ANDRUSZKO,389
CETERA,389
DUDZIEC,389
GONTARSKI,389
GORDON,389
GROCHALSKI,389
GRODEK,389
JESZKE,389
KALECIŃSKI,389
KNIAŹ,389
LIBER,389
LIWIŃSKI,389
NOVIKOV,389
OWSIŃSKI,389
RATUSZNY,389
RZYMSKI,389
SARBINOWSKI,389
SZAMOCKI,389
WISŁA,389
CIMOCH,388
CZUBASZEK,388
GALEK,388
GRABAN,388
GRZELEWSKI,388
HARTMAN,388
HAWRYLAK,388
HUBERT,388
KALANDYK,388
KOSSAK,388
ŁAGOCKI,388
MORACZEWSKI,388
OLBRYCH,388
PILICH,388
SOJDA,388
SUDAK,388
BAREJ,387
DIACHENKO,387
DWORNICKI,387
HARABURDA,387
JANY,387
JUSTYŃSKI,387
KAWULOK,387
KOŚCIK,387
MAĆCZAK,387
MAKSIMOWICZ,387
MIZAK,387
OCHWAT,387
PERA,387
REZMER,387
RYDZIK,387
SZCZUKOWSKI,387
SZMELTER,387
TRAFNY,387
WIERDAK,387
ZAWILIŃSKI,387
BUJKO,386
FILIŃSKI,386
HEJNA,386
KLIŃSKI,386
KOLESNYK,386
LAMPA,386
PAĆKOWSKI,386
SERWIŃSKI,386
SIUZDAK,386
STRĄCZYŃSKI,386
TUSK,386
ZUGAJ,386
BASZCZYŃSKI,385
CIUK,385
DURLEJ,385
KASIAK,385
KIEŁBASIŃSKI,385
KONWERSKI,385
ŁAKOTA,385
MĄKOWSKI,385
PRZYSTUPA,385
STERNA,385
STOLORZ,385
STRZODA,385
SUCHORSKI,385
SZALIŃSKI,385
SZYBA,385
TOMKOWICZ,385
WAWRZYCKI,385
WOJTASZAK,385
WYKRĘT,385
ZASADNI,385
BOKSA,384
BORKIEWICZ,384
BORZYMOWSKI,384
BUCHHOLZ,384
CHABEREK,384
FILAK,384
HANDKE,384
HERDZIK,384
KORPALSKI,384
MAJEWICZ,384
NIEGOWSKI,384
OBUCHOWICZ,384
PIERZ,384
PRZEWORSKI,384
SAPAŁA,384
SZAŁAJKO,384
WABIK,384
ZAWALICH,384
BIELAT,383
DANISZ,383
DYLONG,383
GABRYCH,383
GARBACIK,383
GŁOWNIA,383
KOBIERECKI,383
KORZONEK,383
KOZUBSKI,383
KRUZEL,383
LEMANOWICZ,383
LYTVYNENKO,383
MROCZYŃSKI,383
OBIDZIŃSKI,383
PASICH,383
PIOTRKOWICZ,383
RÓWNICKI,383
RUBACHA,383
SZAJ,383
SZALAST,383
WILANOWSKI,383
ZBRÓG,383
BIAŁOSKÓRSKI,382
BURKIEWICZ,382
CZOCHARA,382
FRAS,382
GOŁEMBIEWSKI,382
GOSS,382
JEKA,382
KARDYŚ,382
KIELOCH,382
KŁOPOCKI,382
KOPALA,382
KURPAS,382
LEŃCZUK,382
LEPA,382
LISIEWSKI,382
MAZEPA,382
NOSARZEWSKI,382
OKRZESIK,382
OLEKSAK,382
ORGANIŚCIAK,382
PELOWSKI,382
RAŹNIEWSKI,382
SĘCZKOWSKI,382
SZCZYPTA,382
TALKOWSKI,382
WAJER,382
BECK,381
BŁAZIAK,381
CHMIELARSKI,381
GRYCIUK,381
KĄTNY,381
KINOWSKI,381
KUBASZEWSKI,381
KUDER,381
KULICKI,381
LATKO,381
ŁACHACZ,381
ŁAGOSZ,381
NIECIECKI,381
PASTUSZEK,381
SZAJEK,381
WATKOWSKI,381
ANDRYSZCZYK,380
BIESIADECKI,380
DROBNIK,380
DUDCZAK,380
FAJKOWSKI,380
GIEL,380
GRYGLEWSKI,380
HECZKO,380
IDEC,380
JACHNA,380
ŁOMNICKI,380
MAJOS,380
MARKO,380
MARON,380
MARTYNOWSKI,380
NIESZPOREK,380
NIEŚCIOR,380
PĄGOWSKI,380
PIELACH,380
PIERCHAŁA,380
RODA,380
SIEMION,380
SNOPKOWSKI,380
WĘCŁAWSKI,380
ZASĘPA,380
ARASZKIEWICZ,379
CZUBACKI,379
FRONCZEK,379
GĄSECKI,379
GĘSIARZ,379
GŁOWICKI,379
JONIAK,379
JOSZKO,379
KARWALA,379
KLECZEWSKI,379
KRZYKAŁA,379
MARASZEK,379
MATRASZEK,379
MUCZYŃSKI,379
PRAWDZIK,379
SHARMA,379
SMAGACZ,379
SZTUBA,379
ŚWIT,379
TOMAL,379
TUŁODZIECKI,379
VOLKOV,379
ZNOJEK,379
ŻYCHLIŃSKI,379
BARANKIEWICZ,378
CHOJNA,378
CIEĆKO,378
DUSZCZYK,378
GADZAŁA,378
KIERSNOWSKI,378
KRZYSZCZAK,378
KRZYŻOSTANIAK,378
LUBOJAŃSKI,378
ŁUCZYK,378
MAJERCZAK,378
PACHOLIK,378
REJDYCH,378
ROSZKO,378
SOBICZEWSKI,378
SORNAT,378
SYMONOWICZ,378
SZMAGLIŃSKI,378
SZWEDOWSKI,378
WYŻYKOWSKI,378
BARZYK,377
CEGŁA,377
CYREK,377
FRANAS,377
GRYKA,377
GRZANKOWSKI,377
JĘDRAK,377
KOŁPAK,377
KUSZAJ,377
MOLAK,377
PACHOCKI,377
PAJDZIK,377
PARK,377
PATERAK,377
RAPA,377
SKURSKI,377
SUCH,377
WIAK,377
YAVORSKYI,377
ZANDER,377
ZASKÓRSKI,377
BAŃSKI,376
BONIKOWSKI,376
BYTNER,376
ELSNER,376
GIERAT,376
GOLISZEK,376
JASINA,376
JURASZCZYK,376
KLESZCZYŃSKI,376
MALESZKA,376
MEGGER,376
MIRSKI,376
MORTKA,376
NIKLEWICZ,376
OCZKO,376
PIOTRAK,376
PODSTAWSKI,376
REITER,376
ROCH,376
SIP,376
SZUBSKI,376
TOMSIA,376
TUZIMEK,376
ZAGROBELNY,376
BREWCZYŃSKI,375
BRONCEL,375
BYTNAR,375
HRABIA,375
KAMIENIAK,375
KOŁACIŃSKI,375
KRUSZONA,375
KRYK,375
KRZYŚKÓW,375
KUZIEL,375
KUZIEMSKI,375
LENIART,375
LORKOWSKI,375
NIEĆKO,375
POSTROŻNY,375
RZADKOWSKI,375
SIARKIEWICZ,375
SKONIECZKA,375
SOKOLIŃSKI,375
SZPYT,375
TOCZYSKI,375
WALOCH,375
ZAMORA,375
ZBORALSKI,375
ZGÓDKA,375
BABSKI,374
BARTUSIAK,374
BĄBOL,374
BIENIECKI,374
BILIK,374
BLUSZCZ,374
BYTOMSKI,374
CIĘCIWA,374
CIMOCHOWSKI,374
CZUBKOWSKI,374
DROBOT,374
GARLICKI,374
JAMA,374
KAZUBEK,374
KHOMENKO,374
KOCZARA,374
KUDRA,374
KUPNIEWSKI,374
LORBIECKI,374
ŁĘKAWSKI,374
ŁYP,374
MALAWSKI,374
MATWIEJCZYK,374
POLEWKA,374
SAJDA,374
SATORA,374
SŁONKA,374
STERNICKI,374
SZAŁATA,374
SZWEJKOWSKI,374
BEKER,373
CHOSZCZ,373
CHYLAK,373
DARGACZ,373
DOBRUCKI,373
HAMERLA,373
HONKISZ,373
HORBACZ,373
JAKÓBIAK,373
KAPAŁKA,373
MACHETA,373
MYTNIK,373
NIKSA,373
PERNAL,373
PRUSEK,373
SKOMRA,373
SOT,373
STAWCZYK,373
SZCZAP,373
SZCZEPIŃSKI,373
TULEJA,373
WAWRZONKOWSKI,373
WICIAK,373
WOŁKOWSKI,373
BURZEC,372
DROŻDŻAL,372
FOLGA,372
GORCZOWSKI,372
GUMKOWSKI,372
HASS,372
HEINRICH,372
NAGEL,372
OLBIŃSKI,372
PALONEK,372
PAVLOV,372
PIEKORZ,372
SŁABICKI,372
SOKOLOV,372
TELUS,372
WOJTALEWICZ,372
WORACH,372
BARTELA,371
BRYLIŃSKI,371
DARAŻ,371
GOMOŁA,371
GRYZŁO,371
JARZĘBIŃSKI,371
ŁODEJ,371
MIKOŁAJEWICZ,371
NOWACZYŃSKI,371
ROTER,371
SKAWSKI,371
ŚMIŁOWSKI,371
TRAWKA,371
WIERUCKI,371
WIĘCŁAWEK,371
WÓJT,371
BARCICKI,370
CAPAŁA,370
DREWICZ,370
FALTYN,370
FIDURA,370
GIERCZYŃSKI,370
HYNEK,370
JAŚNIEWSKI,370
JĘDRASZCZYK,370
KOLOMIIETS,370
KUBECKI,370
LULA,370
NOWROT,370
OGIELA,370
PACHNIK,370
PŁASZEWSKI,370
PODLASIŃSKI,370
SASS,370
SIEŃSKI,370
SIEPRAWSKI,370
SZUMIEC,370
WARGACKI,370
WDOWIK,370
WIEWIÓRKA,370
WINEK,370
WIRASZKA,370
BACIK,369
HUCZEK,369
KOREK,369
KOŚCIESZA,369
KÓSKA,369
KURNYTA,369
MISIOR,369
MISZKURKA,369
PATYNOWSKI,369
PUTKOWSKI,369
STECKIEWICZ,369
SUWIŃSKI,369
TAMBORSKI,369
UZAR,369
WENERSKI,369
ZŁOTEK,369
DYMARSKI,368
ELWART,368
FAŁOWSKI,368
GADECKI,368
HIRSCH,368
JAMROŻEK,368
KISAŁA,368
KOCIĘCKI,368
KONTEK,368
KYC,368
LATAŃSKI,368
NABIAŁEK,368
PAL,368
ROCHOWIAK,368
SMORĄG,368
SZCZEGIELNIAK,368
ZIELINSKI,368
ZIEMAK,368
ANDREASIK,367
BARŁÓG,367
BARTOSZAK,367
BIESEK,367
BODZAK,367
BORKOWICZ,367
DYDAK,367
FILARSKI,367
GWIZDAK,367
IZBICKI,367
KAWIAK,367
KUBIT,367
LIGENZA,367
ŁACHUT,367
MATYASIK,367
OLSZYNA,367
PAWELA,367
PRYSTUPA,367
SAJNÓG,367
SEMENOWICZ,367
SMAGAŁA,367
SOSKA,367
STASZYŃSKI,367
STILLER,367
SZLACHCIC,367
WEREDA,367
ZASADZIŃSKI,367
ZIEMNICKI,367
ZMUDZIŃSKI,367
AMBROŻEWICZ,366
BRUSZEWSKI,366
CHYBOWSKI,366
FURA,366
GRAL,366
GRYMUZA,366
GUBAŃSKI,366
JANKA,366
JĘDRYS,366
KARPIAK,366
KOPICZKO,366
KUPAJ,366
MOTYLIŃSKI,366
PASZYŃSKI,366
PATLA,366
PLEWNIA,366
POSPIESZNY,366
PYTKOWSKI,366
WĘGLARSKI,366
WIERNICKI,366
WILMA,366
ZAWACKI,366
BIAŁCZYK,365
BIEGALSKI,365
CISZKOWSKI,365
CYSEWSKI,365
CZAICKI,365
GRABAS,365
KIECA,365
KLEBBA,365
KOPEREK,365
KOVTUN,365
KROPIWNICKI,365
KULIS,365
MYK,365
OKULSKI,365
RAFAŁKO,365
ROSOŁEK,365
SADOWNIK,365
TREPCZYK,365
TROJANEK,365
WILEWSKI,365
WUJEC,365
BACHOWSKI,364
BLACHOWSKI,364
BUJACZ,364
DAMIAN,364
DANIELUK,364
FOJT,364
GEMZA,364
HUCZKO,364
JASNOCH,364
KAPUŚCIK,364
KARWAN,364
KLISZCZ,364
KLYTA,364
KOŁSUT,364
KORMAN,364
LANGIER,364
MĘCZYŃSKI,364
MIĄSIK,364
MULTAN,364
MUSIAŁA,364
NAGRODZKI,364
OBARZANEK,364
PAŁYSKA,364
PERLAK,364
REJEK,364
SŁADEK,364
STYPKA,364
SZRAMKA,364
TRUTY,364
URZĘDOWSKI,364
WŁOSTOWSKI,364
WYCISZKIEWICZ,364
ZEGADŁO,364
BAŁOS,363
DRUŻYŃSKI,363
DUBOWSKI,363
GRABARSKI,363
KANDEFER,363
LETKIEWICZ,363
MYSZA,363
PIESZAK,363
SADOCH,363
SOBIERALSKI,363
STAWARSKI,363
SURDEL,363
SZOTT,363
TERPIŁOWSKI,363
TOKARZEWSKI,363
WIELGO,363
ŻYMEŁKA,363
BAJKO,362
BURACZYŃSKI,362
BYSTREK,362
CUKIER,362
DEREZIŃSKI,362
DŁUGAJCZYK,362
DRZYMALSKI,362
GAŁĘZA,362
GAWŁOWICZ,362
JEDZINIAK,362
KIEŁCZYKOWSKI,362
KOŃ,362
ŁADZIAK,362
MILEJ,362
NAZAREWICZ,362
NIEDZWIECKI,362
PATELCZYK,362
POMIETŁO,362
REJMER,362
ROZUMEK,362
SOBANIA,362
WODA,362
ZDANCEWICZ,362
ZWARA,362
ZYZIK,362
ANTECKI,361
BASIAGA,361
CELUCH,361
CIEMIŃSKI,361
CIS,361
CZURA,361
DELA,361
DŁUBAK,361
DUCZEK,361
DYMERSKI,361
DZIEŻA,361
GILARSKI,361
JACHIMCZYK,361
KOPYŚĆ,361
KOWACKI,361
KOWALCZEWSKI,361
KUBIENIEC,361
LUBELSKI,361
ŁOSIAK,361
ŁUCZAJ,361
NIEZNAŃSKI,361
PACHOLCZAK,361
PEDRYCZ,361
PRACZ,361
PYŚ,361
RUSIŃSKI,361
RYCHARSKI,361
SINICKI,361
WIERTELAK,361
WIĘCZKOWSKI,361
ZACKIEWICZ,361
BASTER,360
BODUCH,360
BRUDZYŃSKI,360
CHOŁODY,360
DMYTRUK,360
DYCZKOWSKI,360
GDOWSKI,360
GILL,360
GOIK,360
KOPAŁA,360
KRYSTKOWIAK,360
KUCHCIAK,360
LIBERACKI,360
ŁĄCZ,360
MATACZ,360
MĘCIK,360
MIŁOŚ,360
PRYKHODKO,360
SARAN,360
SZOKA,360
SZULKOWSKI,360
WALIŃSKI,360
WĘGRZYK,360
WOSZCZAK,360
ZIELEZIŃSKI,360
ZYBURA,360
BISAGA,359
CELEJEWSKI,359
JODKO,359
KACZMARKIEWICZ,359
KILIAŃSKI,359
KRZYSZTOSZEK,359
PARUS,359
PARUSZEWSKI,359
PAWLICZAK,359
PETRUS,359
PROKOPIAK,359
RYCHCIK,359
SZCZERKOWSKI,359
WIKIERA,359
WOSZCZEK,359
ZAWIASA,359
ZIĘCIAK,359
BAZYLUK,358
BILYK,358
CHRAPKOWSKI,358
DZIDEK,358
HARĘŻA,358
HERNAS,358
JARKIEWICZ,358
JARMUŻ,358
KAJSTURA,358
KENIG,358
KLEMENS,358
LIZUREJ,358
MANISTA,358
MOLGA,358
NOJEK,358
NOWOTKA,358
OKUROWSKI,358
OŁTARZEWSKI,358
ORZESZEK,358
RAKOWIECKI,358
SIEDLIK,358
ŚWISZCZ,358
URODA,358
WICKI,358
FILEK,357
GARGULA,357
GROBLEWSKI,357
GRZEBIEŃ,357
HOLC,357
KAJDAS,357
LISS,357
ŁOCHOWSKI,357
MOSKALENKO,357
MOTYLSKI,357
PALEŃ,357
PARSZEWSKI,357
RACINOWSKI,357
SOKOLNICKI,357
ŚLADOWSKI,357
ŚLEMP,357
ŚLESICKI,357
WASILEWICZ,357
ZAJCHOWSKI,357
ZAWADZIŃSKI,357
ZIELENIEWSKI,357
ZIELEŃ,357
ŻYŁOWSKI,357
ĆWIKOWSKI,356
GAJCY,356
GŁAZOWSKI,356
JAMRO,356
KAŁWAK,356
KARAŚKIEWICZ,356
KOZIOROWSKI,356
KUŚNIEREK,356
KWIT,356
ŁUKASIUK,356
MUSZ,356
OCHENKOWSKI,356
PANCHENKO,356
POWĘSKA,356
PYSZNY,356
ROMEJKO,356
SOBIECHOWSKI,356
SPYCHAJ,356
STACHEWICZ,356
TADEUSIAK,356
WAWRZEŃCZYK,356
WISIŃSKI,356
WOŹNICZKO,356
WYRWICH,356
BLANK,355
BORATYN,355
ĆMIEL,355
DOROZ,355
DZIEŁAK,355
GĄSZCZAK,355
GRUSZEWSKI,355
HOLUB,355
KAJDAN,355
KORBUT,355
MIKSZA,355
MIROS,355
PANASIEWICZ,355
PITEK,355
PNIAK,355
POLICHT,355
REICHEL,355
ROSŁONIEC,355
TRYBULSKI,355
TRZPIS,355
BACIA,354
BURDACH,354
DRUŻKOWSKI,354
GIERULA,354
GŁODKOWSKI,354
GRUND,354
ISKIERKA,354
KABZA,354
KLÓSKA,354
KUDLAK,354
KUZA,354
NALEWAJEK,354
PROSTAK,354
SKUBISZEWSKI,354
STĘPKA,354
WARDZAŁA,354
WICHARY,354
WITKOWICZ,354
ZIAREK,354
ŻUKIEWICZ,354
BORYCZKO,353
BUJAS,353
CETNAROWSKI,353
CIOŁCZYK,353
CWOJDZIŃSKI,353
DŁUŻEWSKI,353
DREWA,353
FASZCZEWSKI,353
GĘSIKOWSKI,353
KANIUK,353
KILARSKI,353
KŁODOWSKI,353
KURGAN,353
MAZURCZYK,353
MISIEJUK,353
PERNAK,353
PYRKOSZ,353
RADOWSKI,353
ROSADA,353
SĄCZAWA,353
SIATKA,353
STĄPÓR,353
SZLAGOWSKI,353
SZMALEC,353
SZYMSKI,353
TABACZYŃSKI,353
TŁUCZEK,353
TUZ,353
ZATOŃSKI,353
ACHTELIK,352
BINIECKI,352
BRACHA,352
CHODACKI,352
CHOLEWKA,352
CYROŃ,352
KLEINSCHMIDT,352
KRETEK,352
KRZYSIK,352
ŁANIEWSKI,352
MATUSZNY,352
NIESŁUCHOWSKI,352
OLESIEJUK,352
PAJKA,352
POLITAŃSKI,352
PSTRĄGOWSKI,352
PYTLOS,352
STECIUK,352
STODOLSKI,352
SZTUCZKA,352
TADYCH,352
UŚCIŃSKI,352
WAŚKOWSKI,352
WĄSALA,352
WISŁOCKI,352
ZAGDAŃSKI,352
ZALEJSKI,352
BABII,351
BARCIŃSKI,351
BIEROŃSKI,351
BIŃCZAK,351
BŁAŻ,351
CISOŃ,351
DZIERWA,351
ERNST,351
GOTFRYD,351
KOTLICKI,351
KOZOK,351
KRZESZOWIEC,351
LEMIESZ,351
ŁASOCHA,351
ŁAZICKI,351
MATERKA,351
MELANIUK,351
MROWICKI,351
MUDLAFF,351
OCHOJSKI,351
PRĄDZIŃSKI,351
PROSZEK,351
RAGUS,351
RATAJEWSKI,351
STARMACH,351
SZCZEREK,351
SZEJA,351
WĘGRZYNEK,351
WOJDYGA,351
YANG,351
BASZYŃSKI,350
CHOJAK,350
FRANIK,350
JACHIMCZAK,350
JARKA,350
JASZCZYŃSKI,350
JUSZYŃSKI,350
KABALA,350
KIERSKI,350
KISIELIŃSKI,350
KSEL,350
LUKAS,350
MAŚLANY,350
MUZYK,350
MYDŁOWSKI,350
PACHOWICZ,350
RAKOWICZ,350
RASAŁA,350
ROGACZ,350
SŁONIEWSKI,350
ZYZAK,350
CHATYS,349
CHEŁMECKI,349
GUMNY,349
HAPONIUK,349
KŁODNICKI,349
KONIARSKI,349
KORGUL,349
KUFFEL,349
KUPŚ,349
KYRCZ,349
LIANA,349
MATULA,349
OFIARA,349
OWOC,349
SCHOLZ,349
TURECKI,349
YURCHENKO,349
ZYGA,349
ŻULEWSKI,349
BIAŁACH,348
DOROŻYŃSKI,348
DZIDUCH,348
FRĄCZ,348
FURGA,348
GASEK,348
GRYGORCEWICZ,348
HESS,348
ISHCHENKO,348
KARBOWY,348
KELER,348
KORONKIEWICZ,348
LUBAŚ,348
ŁUSIAK,348
ŁUŻNY,348
MACHUL,348
MYRDA,348
NABOŻNY,348
OBŁOZA,348
PIECHURA,348
POCHROŃ,348
STRZĘPKA,348
ŚLIWIAK,348
TEODOROWICZ,348
WARZYBOK,348
ŹREBIEC,348
AMANOWICZ,347
BONA,347
CHAJEC,347
CHYB,347
CYWKA,347
DOMERADZKI,347
DRELA,347
DRESZER,347
DZIADKIEWICZ,347
DZIOK,347
FOŁTA,347
GALON,347
GARSTECKI,347
GŁOWSKI,347
GUSTAW,347
KOMANDER,347
KONIEC,347
KRAJNIAK,347
LECHWAR,347
LIBERDA,347
LUTOSTAŃSKI,347
MIOZGA,347
NAZARENKO,347
PRZYBYŚ,347
REZLER,347
SMOLORZ,347
SOLIS,347
SUPERNAK,347
WARAKSA,347
WILMAŃSKI,347
ZANDECKI,347
ZASOWSKI,347
ZDZIEBŁO,347
ŻUGAJ,347
ARCZEWSKI,346
BLAUT,346
BOĆKOWSKI,346
DULAS,346
DURYS,346
FECHNER,346
GLAZIK,346
GOSIK,346
GRACZYKOWSKI,346
GRANDA,346
JAKACKI,346
KOPCZEWSKI,346
KORNIAK,346
KOSMAN,346
LASZKIEWICZ,346
LEONIUK,346
PALICA,346
PĘDRAK,346
PILEWSKI,346
RAJCZAKOWSKI,346
ROGOŻA,346
SIEBERT,346
SOBIESZCZYK,346
SZAJNER,346
SZRAMA,346
WYDMUCH,346
ZBROŻEK,346
ŻUBEREK,346
CHMIELARCZYK,345
DULAK,345
FRELEK,345
GRABKOWSKI,345
GWIAŹDZIŃSKI,345
HAJDER,345
JAKUBIUK,345
JANUSZEWICZ,345
KADELA,345
KAPITAN,345
KOBRZYŃSKI,345
KOŃCZYK,345
LESZCZAK,345
MIELOCH,345
OBIAŁA,345
OBRZUD,345
PARZONKA,345
PASZTALENIEC,345
POŁAWSKI,345
PUSTUŁA,345
STECKI,345
SUCHCICKI,345
SZMAJ,345
SZULCZYK,345
TORBUS,345
TÓRZ,345
UZIĘBŁO,345
WARECKI,345
WOSIEK,345
BERNATEK,344
BOBOLA,344
BURKAT,344
DYDA,344
GEBAUER,344
HAPKA,344
KALUGA,344
KOWIESKI,344
KUCZAK,344
KUCZMARSKI,344
KUZIORA,344
LIPOK,344
LISTOWSKI,344
MARAS,344
MILKA,344
OLEŚKIEWICZ,344
PAWLUŚ,344
PINDRAL,344
PIOTRZKOWSKI,344
PLIS,344
POLASIK,344
PYSZCZEK,344
RADZIWON,344
SANIEWSKI,344
SERGIEL,344
SIWECKI,344
SOŁODUCHA,344
TATARCZUK,344
WIZNER,344
ZEMANEK,344
ŻUCZEK,344
BIAŁASIK,343
BUCZMA,343
CHORĄŻAK,343
CZARNACKI,343
DOMOŃ,343
DULIK,343
KANTYKA,343
KLACZYŃSKI,343
KRUSZCZYŃSKI,343
ŁOKIETEK,343
MIGDA,343
MISIUK,343
MORAŃSKI,343
NAMYSŁO,343
NOGIEĆ,343
PALEJ,343
PĘPEK,343
PILAWSKI,343
PSZENICZNY,343
RZYMOWSKI,343
SOSNÓWKA,343
TARAN,343
USS,343
XU,343
BORSKI,342
DOMKA,342
DOMURAD,342
DOPIERALSKI,342
DURMA,342
DWORECKI,342
DZIENISZ,342
FEDORUK,342
GRZESIEK,342
JELENIEWSKI,342
KITLIŃSKI,342
KRZEPKOWSKI,342
KUZIO,342
ŁASICA,342
ŁAWNICZEK,342
MAŁOCHA,342
NAPIERSKI,342
OCH,342
OSICKI,342
OSTOLSKI,342
PIŃSKI,342
PRAJSNAR,342
REIMANN,342
ROCŁAWSKI,342
SKRZECZKOWSKI,342
SKRZYDLEWSKI,342
STRYKOWSKI,342
SZCZERBICKI,342
TONDERA,342
ZIMMERMANN,342
ŻMIJA,342
BAUM,341
BERDZIK,341
CYRULIK,341
DROŻYŃSKI,341
DZIAŁOWSKI,341
JASION,341
JĘDRA,341
KLUS,341
KŁONOWSKI,341
KOLKA,341
KORZENIAK,341
KREMER,341
KUBSKI,341
LAZAREK,341
ŁABUŚ,341
ŁACINA,341
ŁASKA,341
MORAWA,341
MYRCIK,341
OGORZAŁY,341
OŁÓW,341
PAZOŁA,341
PRAŻUCH,341
ROZYNEK,341
RUMIN,341
STRUMIŃSKI,341
TOLAK,341
TOŁOCZKO,341
ZAGUŁA,341
ZAKASZEWSKI,341
ŻABSKI,341
ŻYTO,341
BANEK,340
BOLANOWSKI,340
DOWNAR,340
DYBALSKI,340
DYDO,340
JANIC,340
JARMUŁA,340
JOCHYMEK,340
KOPEK,340
KORDYS,340
KUKAWKA,340
MARSZEWSKI,340
MĄDRZYK,340
NAWÓJ,340
OSTRĘGA,340
PIETREWICZ,340
SADŁOŃ,340
SALACHNA,340
SUCHOWIECKI,340
SZCZOT,340
SZPYRA,340
SZPYTMA,340
ŚLEPOWROŃSKI,340
WAC,340
WIERCIGROCH,340
ANTOŃ,339
BOCHNIARZ,339
BRONKA,339
DOROBISZ,339
DROŻDŻOWSKI,339
FERDYN,339
FIDOS,339
HUL,339
KĘDROŃ,339
KRZOSEK,339
MACHNIAK,339
MORDAK,339
NIJAK,339
RABA,339
STANCLIK,339
ZUBOWICZ,339
ŻOŁYŃSKI,339
ŻURAKOWSKI,339
ANDREJCZUK,338
BORK,338
CHMURSKI,338
HARĘŻLAK,338
HOLEKSA,338
KARLIKOWSKI,338
KOŁATA,338
KURBIEL,338
MACULEWICZ,338
NEUGEBAUER,338
OCZKOWICZ,338
PAWEŁKO,338
PIETRUS,338
PRASEK,338
SŁOCIŃSKI,338
SZUMACHER,338
ŚWIERCZYNA,338
TYMA,338
WITOSZEK,338
WYCZÓŁKOWSKI,338
ŻÓŁKIEWSKI,338
BARDZIŃSKI,337
BURTAN,337
CZARNOMSKI,337
DOMOWICZ,337
DRZEWICKI,337
FIUT,337
GIERASIMIUK,337
GOŁOTA,337
GROSZKOWSKI,337
GUDOWSKI,337
JARNOT,337
KRYWULT,337
KUBASIEWICZ,337
KURZ,337
MATEJUK,337
MIELKE,337
MOCZKO,337
OBROCHTA,337
PREŚ,337
PRZEBINDA,337
RACHUBA,337
ROBASZKIEWICZ,337
SIWCZAK,337
SROKOSZ,337
SUCHOJAD,337
TOMASZUK,337
TOMOŃ,337
TYMCZYSZYN,337
WOJAKOWSKI,337
WOJTACH,337
ZDONEK,337
ZIELONY,337
BIELIK,336
BOŃCZAK,336
BUSZKO,336
CYLWIK,336
DUB,336
DUDKOWIAK,336
DUNAL,336
DYBAŁ,336
FEDKO,336
